date,cases,country,city
2020-11-29,158,Finland,Helsinki
2020-11-30,313,Finland,Helsinki
2020-12-01,221,Finland,Helsinki
2020-12-02,250,Finland,Helsinki
2020-12-03,281,Finland,Helsinki
2020-12-04,224,Finland,Helsinki
2020-12-05,153,Finland,Helsinki
2020-12-06,157,Finland,Helsinki
2020-12-07,284,Finland,Helsinki
2020-12-08,253,Finland,Helsinki
2020-12-09,269,Finland,Helsinki
2020-12-10,222,Finland,Helsinki
2020-12-11,236,Finland,Helsinki
2020-12-12,147,Finland,Helsinki
2020-12-13,169,Finland,Helsinki
2020-12-14,233,Finland,Helsinki
2020-12-15,195,Finland,Helsinki
2020-12-16,191,Finland,Helsinki
2020-12-17,151,Finland,Helsinki
2020-12-18,181,Finland,Helsinki
2020-12-19,125,Finland,Helsinki
2020-12-20,147,Finland,Helsinki
2020-12-21,202,Finland,Helsinki
2020-12-22,197,Finland,Helsinki
2020-12-23,146,Finland,Helsinki
2020-12-24,96,Finland,Helsinki
2020-12-25,95,Finland,Helsinki
2020-12-26,93,Finland,Helsinki
2020-12-27,111,Finland,Helsinki
2020-12-28,223,Finland,Helsinki
2020-12-29,164,Finland,Helsinki
2020-12-30,110,Finland,Helsinki
2020-12-31,137,Finland,Helsinki
2021-01-01,78,Finland,Helsinki
2021-01-02,127,Finland,Helsinki
2021-01-03,113,Finland,Helsinki
2021-01-04,204,Finland,Helsinki
2021-01-05,162,Finland,Helsinki
2021-01-06,94,Finland,Helsinki
2021-01-07,167,Finland,Helsinki
2021-01-08,147,Finland,Helsinki
2021-01-09,103,Finland,Helsinki
2021-01-10,126,Finland,Helsinki
2021-01-11,189,Finland,Helsinki
2021-01-12,127,Finland,Helsinki
2021-01-13,123,Finland,Helsinki
2021-01-14,122,Finland,Helsinki
2021-01-15,110,Finland,Helsinki
2021-01-16,99,Finland,Helsinki
2021-01-17,98,Finland,Helsinki
2021-01-18,256,Finland,Helsinki
2021-01-19,190,Finland,Helsinki
2021-01-20,212,Finland,Helsinki
2021-01-21,179,Finland,Helsinki
2021-01-22,196,Finland,Helsinki
2021-01-23,93,Finland,Helsinki
2021-01-24,153,Finland,Helsinki
2021-01-25,255,Finland,Helsinki
2021-01-26,212,Finland,Helsinki
2021-01-27,188,Finland,Helsinki
2021-01-28,229,Finland,Helsinki
2021-01-29,191,Finland,Helsinki
2021-01-30,134,Finland,Helsinki
2021-01-31,168,Finland,Helsinki
2021-02-01,296,Finland,Helsinki
2021-02-02,248,Finland,Helsinki
2021-02-03,264,Finland,Helsinki
2021-02-04,224,Finland,Helsinki
2021-02-05,215,Finland,Helsinki
2021-02-06,152,Finland,Helsinki
2021-02-07,172,Finland,Helsinki
2021-02-08,294,Finland,Helsinki
2021-02-09,241,Finland,Helsinki
2021-02-10,229,Finland,Helsinki
2021-02-11,236,Finland,Helsinki
2021-02-12,259,Finland,Helsinki
2021-02-13,192,Finland,Helsinki
2021-02-14,181,Finland,Helsinki
2021-02-15,362,Finland,Helsinki
2021-02-16,328,Finland,Helsinki
2021-02-17,337,Finland,Helsinki
2021-02-18,328,Finland,Helsinki
2021-02-19,306,Finland,Helsinki
2021-02-20,185,Finland,Helsinki
2021-02-21,218,Finland,Helsinki
2021-02-22,386,Finland,Helsinki
2021-02-23,382,Finland,Helsinki
2021-02-24,418,Finland,Helsinki
2021-02-25,361,Finland,Helsinki
2021-02-26,429,Finland,Helsinki
2021-02-27,268,Finland,Helsinki
2021-02-28,267,Finland,Helsinki
2021-03-01,479,Finland,Helsinki
2021-03-02,490,Finland,Helsinki
2021-03-03,477,Finland,Helsinki
2021-03-04,388,Finland,Helsinki
2021-03-05,420,Finland,Helsinki
2021-03-06,275,Finland,Helsinki
2021-03-07,257,Finland,Helsinki
2021-03-08,500,Finland,Helsinki
2021-03-09,503,Finland,Helsinki
2021-03-10,504,Finland,Helsinki
2021-03-11,477,Finland,Helsinki
2021-03-12,519,Finland,Helsinki
2021-03-13,329,Finland,Helsinki
2021-03-14,262,Finland,Helsinki
2021-03-15,507,Finland,Helsinki
2021-03-16,453,Finland,Helsinki
2021-03-17,416,Finland,Helsinki
2021-03-18,455,Finland,Helsinki
2021-03-19,444,Finland,Helsinki
2021-03-20,286,Finland,Helsinki
2021-03-21,289,Finland,Helsinki
2021-03-22,450,Finland,Helsinki
2021-03-23,452,Finland,Helsinki
2021-03-24,394,Finland,Helsinki
2021-03-25,356,Finland,Helsinki
2021-03-26,406,Finland,Helsinki
2021-03-27,199,Finland,Helsinki
2021-03-28,246,Finland,Helsinki
2021-03-29,378,Finland,Helsinki
2021-03-30,322,Finland,Helsinki
2021-03-31,335,Finland,Helsinki
2021-04-01,252,Finland,Helsinki
2021-04-02,223,Finland,Helsinki
2021-04-03,191,Finland,Helsinki
2021-04-04,205,Finland,Helsinki
2021-04-05,232,Finland,Helsinki
2021-04-06,306,Finland,Helsinki
2021-04-07,245,Finland,Helsinki
2021-04-08,211,Finland,Helsinki
2021-04-09,175,Finland,Helsinki
2021-04-10,138,Finland,Helsinki
2021-04-11,142,Finland,Helsinki
2021-04-12,220,Finland,Helsinki
2021-04-13,155,Finland,Helsinki
2021-04-14,169,Finland,Helsinki
2021-04-15,129,Finland,Helsinki
2021-04-16,130,Finland,Helsinki
2021-04-17,124,Finland,Helsinki
2021-04-18,88,Finland,Helsinki
2021-04-19,136,Finland,Helsinki
2021-04-20,145,Finland,Helsinki
2021-04-21,114,Finland,Helsinki
2021-04-22,138,Finland,Helsinki
2021-04-23,110,Finland,Helsinki
2021-04-24,84,Finland,Helsinki
2021-04-25,83,Finland,Helsinki
2021-04-26,121,Finland,Helsinki
2021-04-27,109,Finland,Helsinki
2021-04-28,147,Finland,Helsinki
2021-04-29,94,Finland,Helsinki
2021-04-30,97,Finland,Helsinki
2021-05-01,55,Finland,Helsinki
2021-05-02,81,Finland,Helsinki
2021-05-03,156,Finland,Helsinki
2021-05-04,114,Finland,Helsinki
2021-05-05,125,Finland,Helsinki
2021-05-06,112,Finland,Helsinki
2021-05-07,94,Finland,Helsinki
2021-05-08,69,Finland,Helsinki
2021-05-09,69,Finland,Helsinki
2021-05-10,137,Finland,Helsinki
2021-05-11,108,Finland,Helsinki
2021-05-12,146,Finland,Helsinki
2021-05-13,77,Finland,Helsinki
2021-05-14,86,Finland,Helsinki
